EmpID,BiasInfluentialFactor,FitmentPercent
24365,,57.893364
21897,,84.44977
12218,,56.346725
6426,,84.14338
18233,Gender,80.49995
16313,Gender,79.14153
19552,YearsOfExperince,82.607605
3394,,52.745033
21300,YearsOfExperince,77.83638
19989,DegreeBranch,81.087006
18968,Gender,77.300964
17609,Gender,83.589386
6393,YearsOfExperince,56.530937
18566,CurrentCompanyType,56.269337
18652,Gender,79.55538
6284,EmpScore,88.30365
10974,Gender,84.690506
9330,DegreeBranch,74.962906
20382,DegreeBranch,95.344154
14652,,52.821884
15787,Gender,81.55865
19436,,60.00762
7393,,81.87052
9058,DegreeBranch,82.31704
11633,,53.004894
13719,,73.541534
11529,YearsOfExperince,84.032104
10025,,51.091465
14861,YearsOfExperince,78.07714
9580,Gender,85.90884
14427,,51.68692
20740,HighestDegree,82.23222
18768,DegreeBranch,76.910484
20259,Gender,74.323265
18190,HighestDegree,81.49366
11050,DegreeBranch,94.36205
21005,Gender,76.61491
17701,,81.11084
10792,DegreeBranch,77.63688
2785,,58.156517
15529,HighestDegree,88.64877
21480,,86.467476
6154,YearsOfExperince,71.32349
5826,HighestDegree,91.372505
11819,DegreeBranch,78.48712
21236,EmpScore,82.86718
8350,,50.735325
15823,Gender,83.56349
9144,Gender,75.1564
13558,YearsOfExperince,83.91183
16434,Gender,77.7525
21895,,48.54681
22161,,54.775578
12676,,49.789257
8441,,46.88781
19130,,58.949524
23954,,53.35474
23367,Gender,78.34964
20027,Gender,76.53499
3999,,55.317543
22447,YearsOfExperince,77.08305
11876,,81.97161
15118,,58.905544
11302,YearsOfExperince,83.84119
13884,Gender,74.434425
22852,Gender,81.18303
3287,DegreeBranch,87.80405
5784,YearsOfExperince,81.257904
24277,DegreeBranch,81.949776
13926,Gender,82.60586
2852,DegreeBranch,83.255684
5124,,58.111065
22611,,55.758255
14877,,83.69765
20937,,57.901596
16154,Gender,81.19471
20388,YearsOfExperince,78.39776
22392,DegreeBranch,87.42545
4555,,50.470562
17815,,54.69781
20186,DegreeBranch,80.29831
23435,Gender,82.376335
16770,DegreeBranch,81.096794
8341,CurrentCompanyType,56.21634
13552,DegreeBranch,81.67748
3915,DegreeBranch,78.73669
23201,DegreeBranch,93.91878
7425,EmpScore,88.07607
4966,Gender,82.90896
2772,DegreeBranch,86.90602
22279,DegreeBranch,81.34176
15389,,48.521915
10680,,57.04814
7030,,78.67371
10250,,56.92357
19636,CurrentCompanyType,89.14746
15436,YearsOfExperince,94.019104
8730,DegreeBranch,87.36796
21298,EmpScore,83.59035
8517,,59.582916
10527,,57.81802
21230,Gender,87.56529
18809,DegreeBranch,79.42134
3934,YearsOfExperince,75.73802
10115,YearsOfExperince,83.87497
19773,,74.41284
16014,EmpScore,93.70056
7312,EmpScore,85.194305
14091,Gender,78.39136
8717,,59.827827
8953,DegreeBranch,89.605034
17773,,82.234474
2872,,80.66053
21162,Gender,80.528275
15809,,54.853615
11754,Gender,75.5325
9338,DegreeBranch,92.23827
11212,YearsOfExperince,91.030174
5007,CurrentCompanyType,86.07785
5601,,55.638634
17520,DegreeBranch,81.209526
20883,,58.932255
3944,YearsOfExperince,93.19794
6887,EmpScore,82.53534
20677,YearsOfExperince,91.67703
20521,Gender,83.57933
12514,Gender,82.28538
23706,Gender,76.6036
13513,YearsOfExperince,82.379814
18729,YearsOfExperince,82.19962
22103,Gender,77.78182
15153,DegreeBranch,80.53451
10525,Gender,81.70415
8397,DegreeBranch,82.24037
11678,,49.69865
8262,Gender,86.45832
17024,,56.512608
11735,Gender,73.28177
8527,Gender,73.13185
9452,,59.71334
23975,DegreeBranch,89.41914
15880,LatestDegreeCGPA,79.12127
9497,DegreeBranch,81.96599
22405,DegreeBranch,82.97287
17448,HighestDegree,57.81696
19791,DegreeBranch,83.361946
4062,YearsOfExperince,57.800518
8915,DegreeBranch,84.048485
14298,HighestDegree,74.745255
12434,Gender,82.30181
12028,HighestDegree,92.782585
17305,DegreeBranch,77.647
9426,CurrentCompanyType,90.38645
10131,Gender,78.54043
9652,Gender,84.83191
14477,Gender,81.52191
2091,Gender,73.0573
3821,DegreeBranch,79.60332
12396,,52.096043
14241,YearsOfExperince,91.35178
23742,DegreeBranch,75.89598
19466,,47.32629
5883,,76.86725
24132,DegreeBranch,89.1683
16250,EmpScore,81.29746
16401,CurrentCompanyType,59.594296
4824,YearsOfExperince,82.967255
10957,YearsOfExperince,76.921005
11750,DegreeBranch,76.04665
13935,,77.34983
16029,Gender,78.81476
9295,YearsOfExperince,81.31337
21345,,55.152203
22123,Gender,80.86509
19872,Gender,76.74895
17118,HighestDegree,78.96433
17121,MartialStatus,82.274956
6966,DegreeBranch,93.09323
24062,YearsOfExperince,81.07167
9238,HighestDegree,89.56595
6590,YearsOfExperince,79.23847
4352,,53.626575
8562,YearsOfExperince,86.91577
9557,YearsOfExperince,82.790276
7737,DegreeBranch,88.12491
11090,,52.08408
2898,,52.55848
12094,,79.53374
10557,Gender,79.724655
19360,Gender,76.29836
12173,DegreeBranch,88.869514
18496,EmpScore,81.06472
4044,,54.066807
8828,Gender,77.84043
5822,DegreeBranch,79.64219
4800,,64.54002
19690,EmpScore,84.61637
13470,DegreeBranch,73.3564
17247,DegreeBranch,78.02272
19126,Gender,82.49124
17279,Gender,75.207054
11804,Gender,80.86304
15672,YearsOfExperince,77.36106
6921,YearsOfExperince,90.494446
16364,YearsOfExperince,82.46543
3186,,54.291637
20973,,57.815174
24245,DegreeBranch,83.50295
23278,DegreeBranch,79.63054
13294,DegreeBranch,90.969284
4768,Gender,82.44226
22217,DegreeBranch,80.65508
12584,,80.6715
8578,Gender,76.33219
10623,DegreeBranch,80.0912
7326,,54.436127
14092,DegreeBranch,87.15661
14482,,59.72138
22022,DegreeBranch,83.0131
23284,DegreeBranch,91.340614
23999,,63.56159
10655,LatestDegreeCGPA,75.72687
24045,EmpScore,90.252235
4986,Gender,87.35568
22449,DegreeBranch,95.78103
10719,DegreeBranch,81.11275
14917,Gender,79.75019
18926,DegreeBranch,82.625565
5227,DegreeBranch,80.28746
22606,CurrentCompanyType,88.67483
5037,LatestDegreeCGPA,57.02099
13962,Gender,86.177605
7418,YearsOfExperince,77.25182
12572,EmpScore,88.44298
10207,DegreeBranch,80.72556
20347,YearsOfExperince,76.92756
12982,CurrentCompanyType,82.29354
7210,,48.460453
19779,DegreeBranch,84.10518
16265,YearsOfExperince,82.45076
23858,YearsOfExperince,83.929214
19926,Gender,80.69099
9915,,80.86884
14873,DegreeBranch,85.30664
23033,,54.6576
20379,,59.448578
23862,Gender,79.24312
3961,DegreeBranch,85.8737
20156,,59.45015
2845,,54.509724
21319,Gender,77.5975
23319,,81.068275
11447,Gender,78.65765
23088,Gender,85.45216
13532,EmpScore,86.80847
22777,Gender,80.39924
3951,DegreeBranch,89.74058
19597,YearsOfExperince,76.743004
21097,HighestDegree,86.087326
7022,,83.57097
4812,,52.849194
13103,DegreeBranch,89.22733
17395,DegreeBranch,91.3847
2363,DegreeBranch,89.738976
6311,DegreeBranch,81.145805
16964,DegreeBranch,81.795296
10553,Gender,72.98678
19740,DegreeBranch,77.56972
5133,,56.8636
22171,YearsOfExperince,84.00416
20617,DegreeBranch,81.90603
6662,Gender,82.34125
23903,Gender,77.96791
18027,,48.687035
10298,,79.1848
21972,,65.08521
11690,Gender,76.66528
16309,YearsOfExperince,81.65235
20202,EmpScore,76.23741
22074,DegreeBranch,80.83315
6309,DegreeBranch,80.60293
13662,,59.911747
4078,Gender,77.68276
15188,,57.80493
15476,,54.828743
8200,,49.357788
19412,DegreeBranch,90.68778
14712,HighestDegree,82.56774
3415,,65.40136
5453,DegreeBranch,79.76218
15238,Gender,84.514885
19323,HighestDegree,95.300766
23188,DegreeBranch,82.91386
6591,EmpScore,89.24176
12101,DegreeBranch,83.22209
17146,Gender,78.97945
9146,,51.86039
22775,,78.77769
13751,DegreeBranch,83.61121
11226,Gender,81.01042
3850,Gender,78.8439
14997,,54.92295
22434,,55.352596
5269,Gender,80.17522
13380,EmpScore,73.565186
22670,HighestDegree,83.97772
15129,,73.956116
6112,YearsOfExperince,54.742928
19858,,81.90943
3195,DegreeBranch,75.48724
15081,,52.19888
12625,,50.791336
2394,,54.52113
11722,EmpScore,92.30675
10487,,53.436
6716,,59.48087
21686,Gender,82.23718
23385,YearsOfExperince,77.8022
20061,,55.536373
13274,YearsOfExperince,72.85777
6434,EmpScore,87.514786
11018,YearsOfExperince,82.786606
7633,,56.554764
3647,EmpScore,90.504944
8764,YearsOfExperince,75.50907
5462,EmpScore,78.307686
5482,YearsOfExperince,75.43256
10636,EmpScore,87.115036
13206,MartialStatus,83.07289
5099,,56.710884
10010,DegreeBranch,78.471115
6082,EmpScore,80.66102
13048,,79.62806
19864,Gender,65.337204
11227,,56.69865
4186,DegreeBranch,78.50308
4195,DegreeBranch,74.7599
15060,Gender,85.07063
11001,Gender,77.55015
2340,DegreeBranch,78.5817
22965,DegreeBranch,78.94113
5148,YearsOfExperince,80.286125
13601,DegreeBranch,87.72183
9076,DegreeBranch,80.30891
20026,YearsOfExperince,79.85059
16062,DegreeBranch,86.02474
16983,DegreeBranch,83.89669
4603,,60.177208
23344,Gender,76.90491
8109,,57.658607
14277,Gender,83.19958
12639,EmpScore,74.8572
24128,Gender,80.271255
15262,YearsOfExperince,80.55157
11037,DegreeBranch,74.657455
8586,,52.289547
18481,DegreeBranch,88.991165
11232,,58.818836
12038,YearsOfExperince,92.6641
5802,DegreeBranch,58.944103
8631,YearsOfExperince,65.24215
13476,YearsOfExperince,80.426636
13947,CurrentCompanyType,54.44314
16601,DegreeBranch,84.85965
6751,,55.198864
16303,,80.11285
12486,CurrentCompanyType,74.91385
19548,Gender,81.68916
6731,Gender,71.14875
5410,YearsOfExperince,88.8494
7365,YearsOfExperince,76.109665
14636,Gender,83.32768
15825,,53.39104
18432,EmpScore,90.099785
8161,DegreeBranch,72.688286
9168,,79.34843
5368,DegreeBranch,81.04544
16755,,81.92246
14554,DegreeBranch,74.01432
2859,Gender,79.57474
11652,Gender,83.06398
2715,Gender,79.60945
17972,,54.198524
14439,YearsOfExperince,77.29604
7135,,56.55748
9082,DegreeBranch,91.70503
6327,YearsOfExperince,78.604805
20135,YearsOfExperince,80.05431
9598,Gender,75.60353
9479,DegreeBranch,81.236916
8531,,51.252205
17576,DegreeBranch,62.552628
7868,Gender,78.66242
4704,Gender,83.0248
2227,Gender,80.4005
12599,EmpScore,76.77387
20120,YearsOfExperince,82.76652
22992,,55.60189
11003,,53.831715
12372,Gender,83.25231
8545,DegreeBranch,76.18084
2197,,52.213974
20102,EmpScore,79.98163
19447,YearsOfExperince,78.93298
12226,DegreeBranch,81.10265
22898,Gender,82.17782
21509,DegreeBranch,89.35264
19625,Gender,79.259636
9993,Gender,81.27709
12900,DegreeBranch,85.944916
11775,,82.4788
21533,YearsOfExperince,93.075264
6712,Gender,77.775314
2667,EmpScore,86.445244
11924,DegreeBranch,82.60027
12068,Gender,87.05671
6016,Gender,75.6366
21718,,55.527615
6832,,39.38766
9444,EmpScore,86.42741
21789,Gender,80.3128
12651,DegreeBranch,82.65414
5438,Gender,80.42441
17094,,56.27722
2467,,57.068497
3295,Gender,76.28552
2298,,81.745026
9374,YearsOfExperince,78.41133
8325,YearsOfExperince,85.450905
20077,CurrentCompanyType,52.611565
9976,Gender,79.407425
20755,YearsOfExperince,81.930916
8582,,77.88838
17002,Gender,80.501724
14742,EmpScore,93.553986
6849,CurrentCompanyType,91.32157
23690,HighestDegree,74.83781
2723,,54.11045
23389,Gender,74.99965
4551,Gender,82.509056
24155,DegreeBranch,80.83846
17986,,53.720383
3173,YearsOfExperince,76.430084
4753,YearsOfExperince,90.36095
6047,YearsOfExperince,80.22838
12630,DegreeBranch,85.07206
8896,Gender,75.53492
17455,HighestDegree,76.057724
10654,,55.404823
20375,CurrentCompanyType,81.729965
16180,,80.4011
24323,,57.415634
17430,DegreeBranch,84.77323
10603,,79.77537
23431,Gender,81.68113
23339,DegreeBranch,82.87315
19068,DegreeBranch,77.15052
8797,DegreeBranch,93.15226
11220,YearsOfExperince,76.96327
20244,Gender,77.30938
15150,,50.841118
2145,YearsOfExperince,82.57991
2643,EmpScore,85.83727
19659,,52.162617
22395,,55.270397
16986,YearsOfExperince,62.15658
2938,Gender,76.489395
23372,Gender,80.54003
7675,Gender,78.53666
12534,HighestDegree,80.626495
22145,Gender,78.43385
22403,DegreeBranch,78.09973
8865,HighestDegree,72.39363
16766,,52.55462
14573,HighestDegree,74.79304
17938,CurrentCompanyType,87.2765
20913,DegreeBranch,79.98622
2707,DegreeBranch,88.034515
10035,,83.67149
2342,HighestDegree,86.3802
18984,,53.77727
10572,EmpScore,88.48104
14851,CurrentCompanyType,51.59103
2644,YearsOfExperince,84.942795
23598,DegreeBranch,71.85816
5695,Gender,83.451256
8049,Gender,85.14516
2907,Gender,71.29753
17672,,55.28991
23746,YearsOfExperince,82.04166
18424,,53.044006
20530,EmpScore,83.79791
14918,EmpScore,85.98964
9320,,60.166523
3024,HighestDegree,81.22476
8489,,55.9329
16070,DegreeBranch,80.91276
7289,,54.883568
7789,EmpScore,92.62961
12493,Gender,80.88325
10076,,59.517586
22870,,54.951828
18113,DegreeBranch,83.72644
14232,EmpScore,83.1854
18076,HighestDegree,82.660995
19544,YearsOfExperince,86.18154
2470,DegreeBranch,78.503494
12813,CurrentCompanyType,55.574726
12270,CurrentCompanyType,97.111755
19184,EmpScore,81.01156
13584,,82.15177
4339,,59.43514
17914,YearsOfExperince,81.72017
10917,Gender,85.621956
15879,,82.89193
6427,,54.65093
14040,Gender,83.140526
16305,Gender,74.9365
16513,Gender,86.752
8960,HighestDegree,83.95708
13799,,57.552155
5379,Gender,79.29864
20457,YearsOfExperince,84.69222
18933,,73.654686
19281,,57.695473
10128,,49.715233
18061,Gender,79.428856
2174,,50.386482
18838,DegreeBranch,77.46052
6795,Gender,79.857254
3224,,53.243114
10831,DegreeBranch,88.39321
5177,Gender,77.57861
17845,,60.54409
16084,EmpScore,83.0202
10823,HighestDegree,78.996254
22135,Gender,82.34828
14894,,39.192123
6721,,53.292492
23929,Gender,82.21264
4683,DegreeBranch,79.511986
21939,DegreeBranch,80.18756
4619,,60.12157
4059,DegreeBranch,83.34228
4750,Gender,80.52708
16333,,63.543255
7631,Gender,80.65727
17571,YearsOfExperince,79.782
13223,DegreeBranch,85.59659
6116,EmpScore,77.03432
14670,EmpScore,91.25831
23632,,66.01023
14677,DegreeBranch,80.44683
19234,YearsOfExperince,82.28401
5523,Gender,78.152115
11495,,56.43565
23168,,57.61659
5302,DegreeBranch,85.550476
7925,HighestDegree,83.445366
11796,,58.419754
22722,,54.172462
11147,DegreeBranch,84.54407
3271,,60.97909
7532,,54.24487
22718,DegreeBranch,78.83242
7002,HighestDegree,84.87648
23799,,60.481487
20117,DegreeBranch,83.210106
8931,DegreeBranch,83.06191
12655,DegreeBranch,88.267784
10456,Gender,75.48844
21352,EmpScore,90.823616
8532,,56.12202
4890,YearsOfExperince,76.96479
22035,DegreeBranch,80.66055
12366,YearsOfExperince,73.662704
24342,Gender,81.96982
9218,Gender,81.43822
2918,DegreeBranch,72.923744
22751,EmpScore,82.08197
9299,DegreeBranch,79.0056
10116,YearsOfExperince,78.76117
19046,,50.51733
5724,,51.414883
17626,Gender,78.247116
10874,,80.38742
17574,Gender,76.70113
12772,YearsOfExperince,84.13321
18545,CurrentCompanyType,53.424244
16172,YearsOfExperince,87.795204
18997,DegreeBranch,88.28537
24142,YearsOfExperince,54.863773
10818,DegreeBranch,81.64898
14909,DegreeBranch,83.11828
7996,Gender,81.74553
11575,YearsOfExperince,77.63104
7740,,86.38286
16074,,47.542553
21831,YearsOfExperince,63.197056
18339,DegreeBranch,83.46135
8211,,55.89444
23062,DegreeBranch,79.349106
18654,EmpScore,93.419334
16230,YearsOfExperince,74.16552
19747,DegreeBranch,88.7041
11439,DegreeBranch,86.50014
2888,CurrentCompanyType,61.96786
15800,DegreeBranch,86.87002
2676,HighestDegree,90.037476
8530,Gender,78.16555
24046,DegreeBranch,85.86949
7119,EmpScore,87.51775
20691,,78.82374
23702,DegreeBranch,79.580536
4334,,77.578094
19630,Gender,78.528336
19977,YearsOfExperince,62.086838
11601,DegreeBranch,78.817444
18181,Gender,85.412994
14495,,48.890553
5433,LatestDegreeCGPA,82.13479
2708,,84.28211
19110,Gender,79.03741
8077,Gender,81.21361
6574,DegreeBranch,92.912285
12076,,74.65178
3813,HighestDegree,83.298355
7864,Gender,85.465706
15259,HighestDegree,77.21833
19304,,80.46755
12613,EmpScore,93.55361
6340,,60.967216
13726,DegreeBranch,83.896866
21799,YearsOfExperince,81.869804
18946,,56.632484
22904,,52.392014
12715,,51.29849
5464,HighestDegree,80.583984
2885,EmpScore,89.42284
8175,,77.95504
18310,Gender,77.885086
21078,DegreeBranch,82.39082
13869,YearsOfExperince,89.194695
15964,EmpScore,77.65296
21048,DegreeBranch,92.68643
14638,EmpScore,81.10534
21982,,82.34929
5750,DegreeBranch,82.05171
23484,Gender,80.1802
23656,DegreeBranch,79.63551
18479,Gender,71.24683
11695,HighestDegree,76.31576
7842,Gender,77.56048
2092,YearsOfExperince,82.18655
10587,Gender,75.81156
6208,Gender,81.62965
4927,,51.51703
17015,,54.200447
6074,,45.03828
18384,,79.0846
24181,Gender,80.52715
20806,,62.584476
16059,,48.58792
6400,,57.59681
3219,Gender,80.73838
17911,,54.379505
9737,,58.266903
17547,EmpScore,85.35988
22355,YearsOfExperince,80.91979
9500,Gender,81.83049
11509,,49.341995
13707,YearsOfExperince,84.65873
4624,DegreeBranch,88.65965
21760,Gender,77.97798
10948,DegreeBranch,82.76853
23985,Gender,75.980034
10479,HighestDegree,92.37224
19231,DegreeBranch,94.24747
5709,DegreeBranch,85.557625
13431,Gender,80.21142
22981,Gender,77.08422
6933,EmpScore,81.23641
14159,Gender,77.11087
16588,,78.1281
11588,,74.56345
12666,DegreeBranch,90.6315
4953,DegreeBranch,82.03928
11252,EmpScore,82.26718
8297,YearsOfExperince,77.71861
10845,DegreeBranch,83.41607
8944,HighestDegree,101.87815
23139,DegreeBranch,78.755745
19518,MartialStatus,89.18508
12990,CurrentCompanyType,88.71785
14291,DegreeBranch,80.89426
14179,,38.03193
9680,DegreeBranch,85.81229
13664,YearsOfExperince,79.017494
8516,,80.47297
10647,CurrentCompanyType,88.93968
8171,YearsOfExperince,82.253555
17394,Gender,80.38116
17058,HighestDegree,79.6087
6873,DegreeBranch,90.29955
15125,YearsOfExperince,82.64672
6127,,79.12014
21042,,81.859276
16063,,50.779194
4621,YearsOfExperince,82.794876
14416,DegreeBranch,90.56448
18397,YearsOfExperince,81.83757
5120,HighestDegree,79.17224
12551,,59.76902
20025,,51.072857
14404,DegreeBranch,88.1068
18728,DegreeBranch,80.23667
5771,Gender,80.70066
24313,Gender,80.158615
9022,Gender,78.20578
5716,DegreeBranch,82.53785
18757,,57.408607
11829,,52.414997
10398,Gender,76.97256
18508,EmpScore,78.46699
18302,CurrentCompanyType,56.22417
23412,,55.911003
12476,DegreeBranch,86.17128
3485,,56.256042
20115,Gender,79.60586
17304,,53.381844
3347,Gender,81.35737
13474,YearsOfExperince,86.743805
19974,Gender,77.19473
18300,Gender,85.85932
23366,,48.293114
2109,DegreeBranch,83.09494
21959,YearsOfExperince,79.22074
19383,YearsOfExperince,84.508026
24267,,47.392334
21887,DegreeBranch,89.127174
12162,HighestDegree,92.98369
12708,CurrentCompanyType,53.309193
21563,Gender,81.63511
16500,,51.275494
12807,MartialStatus,76.49411
2592,,56.36451
4148,,86.61477
4464,,48.56707
12988,Gender,80.257065
20303,DegreeBranch,87.85791
11657,DegreeBranch,85.9695
12932,,53.32739
21458,Gender,79.71227
16997,Gender,83.23935
2479,DegreeBranch,81.96642
17759,DegreeBranch,88.356674
3616,,57.70462
4222,DegreeBranch,84.2843
14001,DegreeBranch,87.73618
10286,DegreeBranch,81.221405
12965,YearsOfExperince,82.4073
21357,,57.59239
7914,YearsOfExperince,80.03924
22661,YearsOfExperince,74.47256
4374,YearsOfExperince,91.10303
5881,Gender,80.23056
3602,Gender,82.08929
23102,,68.26596
6184,Gender,83.427666
24265,YearsOfExperince,83.35657
19545,,54.802044
18701,,79.390144
23802,DegreeBranch,81.21931
22013,,61.765118
5199,,69.470825
2043,HighestDegree,84.818504
13098,MartialStatus,74.214516
5770,,57.487278
12040,Gender,81.64519
16754,DegreeBranch,76.31563
11831,Gender,80.02777
22645,DegreeBranch,74.51988
15966,Gender,72.22281
19457,,55.558926
20542,,57.932156
21023,,51.592445
8310,EmpScore,80.45523
7341,DegreeBranch,89.38446
23986,Gender,78.21141
22795,,53.417885
20249,,78.5133
13854,,50.492474
15936,CurrentCompanyType,77.71135
24083,EmpScore,91.16049
18836,,54.368847
18570,Gender,80.760826
17384,DegreeBranch,77.787125
22672,,55.66671
9730,HighestDegree,75.93997
3393,,52.960445
20106,YearsOfExperince,84.61293
9258,DegreeBranch,84.6088
23865,,49.78228
7286,EmpScore,91.28728
21985,,50.548412
2711,,57.14566
15319,Gender,80.412415
11776,Gender,80.836105
19563,Gender,80.43894
11364,Gender,81.239876
7921,YearsOfExperince,81.138985
24288,Gender,83.750175
22676,HighestDegree,79.05078
14650,Gender,82.02991
13716,,56.636303
16663,,57.38725
23789,,48.62946
23904,DegreeBranch,93.02904
24199,EmpScore,78.12609
18322,,81.02885
23876,,76.87821
18685,,77.54589
10788,YearsOfExperince,86.39359
11314,,56.88898
10982,DegreeBranch,81.44077
5341,,56.663563
19136,Gender,83.960045
13511,EmpScore,78.717766
15520,CurrentCompanyType,60.8123
5176,DegreeBranch,82.13165
6765,Gender,85.250565
7622,,48.14843
20256,DegreeBranch,81.11039
10512,EmpScore,78.275566
18035,,45.49211
17915,DegreeBranch,90.74455
10082,DegreeBranch,83.86197
17007,YearsOfExperince,93.126625
17646,EmpScore,85.43098
15092,,50.152126
8716,Gender,78.36671
18387,DegreeBranch,87.87718
3105,,54.913643
16580,,50.554207
15778,,53.081615
12418,Gender,76.7817
3472,,77.06117
7073,DegreeBranch,94.78161
12029,EmpScore,93.22126
12834,DegreeBranch,79.5202
4089,DegreeBranch,90.20418
3236,EmpScore,90.55416
17784,Gender,79.99907
21368,DegreeBranch,84.31784
17298,DegreeBranch,86.382355
15071,DegreeBranch,81.29382
20792,Gender,81.59255
12108,EmpScore,83.14305
14059,YearsOfExperince,77.277664
6884,DegreeBranch,85.842705
8035,,57.067062
11935,YearsOfExperince,81.44607
6545,DegreeBranch,83.617325
6725,Gender,76.81004
12830,MartialStatus,80.935585
20720,EmpScore,86.0192
9957,,79.16954
7484,EmpScore,89.36253
3936,Gender,71.98378
14140,YearsOfExperince,80.612045
13238,Gender,83.80996
22894,YearsOfExperince,82.07272
14787,Gender,78.56059
21622,YearsOfExperince,82.01128
14528,EmpScore,91.3499
2818,,59.636776
11406,,49.72823
17830,YearsOfExperince,71.461334
18837,DegreeBranch,87.009796
9997,,52.05611
19543,YearsOfExperince,79.80208
2069,DegreeBranch,79.52667
23430,,58.357937
8848,Gender,77.05616
16331,YearsOfExperince,76.41069
4361,EmpScore,79.8876
14786,DegreeBranch,80.11338
20707,,56.707096
14856,DegreeBranch,80.95978
11666,DegreeBranch,82.1955
16055,,50.593132
22595,,56.397667
9536,Gender,76.73297
16879,YearsOfExperince,83.177765
11112,,77.4232
4039,Gender,76.34342
10449,,56.860832
17441,,84.28373
21122,MartialStatus,82.287415
7888,,53.973316
3577,DegreeBranch,87.93326
5478,Gender,85.28619
7657,YearsOfExperince,85.294586
2695,DegreeBranch,91.48171
5618,,51.26182
11187,Gender,75.57665
2719,Gender,75.48064
6421,,50.79625
2199,Gender,86.415375
13143,DegreeBranch,79.00215
20601,,48.076744
11802,Gender,78.359665
18485,,56.61157
22895,YearsOfExperince,77.16519
21101,DegreeBranch,88.02494
15267,,55.117985
7396,,49.75126
18214,Gender,82.6983
23828,,52.269756
